name,value,year,lastValue,rank,tid
Giannis Antetokounmpo,14.8,2021-11-28,14.91,2,#2c4e3c
Rudy Gobert,11.9,2021-11-28,11.9,3,#244e34
Luka Doncic,11.75,2021-11-28,11.75,4,#1452b4
Jonas Valanciunas,10.78,2021-11-28,10.78,5,#0c223c
Kristaps Porzingis,9.12,2021-11-28,9.12,6,#1452b4
Clint Capela,8.84,2021-11-28,8.84,7,#cc062c
Nikola Vucevic,8.49,2021-11-28,8.49,8,#bc062c
Jusuf Nurkic,8.37,2021-11-28,8.37,9,#cc0a2c
OG Anunoby,7.71,2021-11-28,7.71,10,#bc0f33
Nikola Jokic,17.74,2021-11-29,17.81,1,#fcc624
Giannis Antetokounmpo,14.8,2021-11-29,14.8,2,#2c4e3c
Rudy Gobert,12.08,2021-11-29,11.9,3,#244e34
Luka Doncic,11.78,2021-11-29,11.75,4,#1452b4
Jonas Valanciunas,11.2,2021-11-29,10.78,5,#0c223c
Nikola Vucevic,8.91,2021-11-29,8.49,6,#bc062c
Clint Capela,8.84,2021-11-29,8.84,7,#cc062c
Kristaps Porzingis,8.76,2021-11-29,9.12,8,#1452b4
Jusuf Nurkic,8.49,2021-11-29,8.37,9,#cc0a2c
OG Anunoby,7.71,2021-11-29,7.71,10,#bc0f33
Nikola Jokic,17.74,2021-11-30,17.74,1,#fcc624
Giannis Antetokounmpo,14.8,2021-11-30,14.8,2,#2c4e3c
Rudy Gobert,12.08,2021-11-30,12.08,3,#244e34
Luka Doncic,11.78,2021-11-30,11.78,4,#1452b4
Jonas Valanciunas,11.2,2021-11-30,11.2,5,#0c223c
Nikola Vucevic,8.91,2021-11-30,8.91,6,#bc062c
Clint Capela,8.84,2021-11-30,8.84,7,#cc062c
Kristaps Porzingis,8.76,2021-11-30,8.76,8,#1452b4
Jusuf Nurkic,8.52,2021-11-30,8.49,9,#cc0a2c
OG Anunoby,7.71,2021-11-30,7.71,10,#bc0f33
Nikola Jokic,17.3,2021-12-01,17.74,1,#fcc624
Giannis Antetokounmpo,14.86,2021-12-01,14.8,2,#2c4e3c
Rudy Gobert,12.08,2021-12-01,12.08,3,#244e34
Luka Doncic,11.92,2021-12-01,11.78,4,#1452b4
Jonas Valanciunas,10.76,2021-12-01,11.2,5,#0c223c
Nikola Vucevic,8.91,2021-12-01,8.91,6,#bc062c
Kristaps Porzingis,8.85,2021-12-01,8.76,7,#1452b4
Clint Capela,8.7,2021-12-01,8.84,8,#cc062c
Jusuf Nurkic,8.52,2021-12-01,8.52,9,#cc0a2c
OG Anunoby,7.71,2021-12-01,7.71,10,#bc0f33
Nikola Jokic,17.3,2021-12-02,17.3,1,#fcc624
Giannis Antetokounmpo,14.86,2021-12-02,14.86,2,#2c4e3c
Rudy Gobert,12.08,2021-12-02,12.08,3,#244e34
Luka Doncic,11.92,2021-12-02,11.92,4,#1452b4
Jonas Valanciunas,10.76,2021-12-02,10.76,5,#0c223c
Nikola Vucevic,9.05,2021-12-02,8.91,6,#bc062c
Kristaps Porzingis,8.85,2021-12-02,8.85,7,#1452b4
Clint Capela,8.7,2021-12-02,8.7,8,#cc062c
Jusuf Nurkic,8.35,2021-12-02,8.52,9,#cc0a2c
OG Anunoby,7.71,2021-12-02,7.71,10,#bc0f33
Nikola Jokic,17.3,2021-12-03,17.3,1,#fcc624
Giannis Antetokounmpo,14.86,2021-12-03,14.86,2,#2c4e3c
Rudy Gobert,11.9,2021-12-03,12.08,3,#244e34
Luka Doncic,11.66,2021-12-03,11.92,4,#1452b4
Jonas Valanciunas,10.71,2021-12-03,10.76,5,#0c223c
Nikola Vucevic,9.05,2021-12-03,9.05,6,#bc062c
Kristaps Porzingis,8.85,2021-12-03,8.85,7,#1452b4
Clint Capela,8.37,2021-12-03,8.7,8,#cc062c
Jusuf Nurkic,8.35,2021-12-03,8.35,9,#cc0a2c
OG Anunoby,7.71,2021-12-03,7.71,10,#bc0f33
Nikola Jokic,17.36,2021-12-04,17.3,1,#fcc624
Giannis Antetokounmpo,14.86,2021-12-04,14.86,2,#2c4e3c
Rudy Gobert,11.9,2021-12-04,11.9,3,#244e34
Luka Doncic,11.66,2021-12-04,11.66,4,#1452b4
Jonas Valanciunas,10.71,2021-12-04,10.71,5,#0c223c
Kristaps Porzingis,8.85,2021-12-04,8.85,6,#1452b4
Nikola Vucevic,8.79,2021-12-04,9.05,7,#bc062c
Clint Capela,8.37,2021-12-04,8.37,8,#cc062c
Jusuf Nurkic,8.31,2021-12-04,8.35,9,#cc0a2c
OG Anunoby,7.71,2021-12-04,7.71,10,#bc0f33
Nikola Jokic,17.36,2021-12-05,17.36,1,#fcc624
Giannis Antetokounmpo,14.86,2021-12-05,14.86,2,#2c4e3c
Rudy Gobert,11.93,2021-12-05,11.9,3,#244e34
Luka Doncic,11.66,2021-12-05,11.66,4,#1452b4
Jonas Valanciunas,10.69,2021-12-05,10.71,5,#0c223c
Kristaps Porzingis,8.85,2021-12-05,8.85,6,#1452b4
Nikola Vucevic,8.79,2021-12-05,8.79,7,#bc062c
Jusuf Nurkic,8.31,2021-12-05,8.31,8,#cc0a2c
Clint Capela,8.21,2021-12-05,8.37,9,#cc062c
OG Anunoby,7.71,2021-12-05,7.71,10,#bc0f33
Nikola Jokic,17.17,2021-12-06,17.36,1,#fcc624
Giannis Antetokounmpo,14.64,2021-12-06,14.86,2,#2c4e3c
Rudy Gobert,11.93,2021-12-06,11.93,3,#244e34
Luka Doncic,11.66,2021-12-06,11.66,4,#1452b4
Jonas Valanciunas,10.69,2021-12-06,10.69,5,#0c223c
Kristaps Porzingis,8.85,2021-12-06,8.85,6,#1452b4
Nikola Vucevic,8.64,2021-12-06,8.79,7,#bc062c
Jusuf Nurkic,8.49,2021-12-06,8.31,8,#cc0a2c
Clint Capela,8.29,2021-12-06,8.21,9,#cc062c
OG Anunoby,7.71,2021-12-06,7.71,10,#bc0f33
